timestamp,feedback,magnitude,reward,cart_position,cart_velocity,pole_angle,pole_velocity,episode,timestep
9.417533874511719e-05,positive,10.0,10.0,0.01068792026489973,-0.21804477274417877,-0.045170996338129044,0.3237597942352295,160,1
0.00014209747314453125,positive,10.0,10.0,0.006327025126665831,-0.02230970188975334,-0.0386958010494709,0.01718091405928135,160,2
0.0001900196075439453,positive,10.0,10.0,0.005880831275135279,-0.2168559581041336,-0.038352180272340775,0.2974081337451935,160,3
0.00023627281188964844,positive,10.0,10.0,0.0015437118709087372,-0.021208876743912697,-0.03240402042865753,-0.007119475863873959,160,4
0.00039768218994140625,positive,10.0,10.0,-0.01570744998753071,-0.40989482402801514,-0.010768316686153412,0.5439571738243103,160,8
0.0005571842193603516,positive,10.0,10.0,-0.040686674416065216,-0.4100415110588074,0.02087196707725525,0.5471869111061096,160,12
0.0006003379821777344,positive,10.0,10.0,-0.04888750612735748,-0.2152189314365387,0.031815703958272934,0.26115256547927856,160,13
0.0006430149078369141,positive,10.0,10.0,-0.053191881626844406,-0.41078025102615356,0.03703875467181206,0.5636983513832092,160,14
0.0007636547088623047,positive,10.0,10.0,-0.07397089898586273,-0.2176472246646881,0.06577955931425095,0.3152258098125458,160,17
0.0009233951568603516,positive,10.0,10.0,-0.06809422373771667,0.16848738491535187,0.0585835836827755,-0.18046104907989502,160,21
0.0010445117950439453,positive,10.0,10.0,-0.06973864138126373,-0.02902458980679512,0.06636900454759598,0.16562803089618683,160,24
0.0010867118835449219,positive,10.0,10.0,-0.07031913101673126,-0.22503072023391724,0.0696815624833107,0.47848808765411377,160,25
0.0012068748474121094,positive,10.0,10.0,-0.07217998057603836,0.3567792773246765,0.08226017653942108,-0.3233533501625061,160,28
0.0012862682342529297,positive,10.0,10.0,-0.06183263286948204,0.3545459806919098,0.07567501813173294,-0.2737441658973694,160,30
0.001329660415649414,positive,10.0,10.0,-0.054741714149713516,0.5485112071037292,0.0702001303434372,-0.5416320562362671,160,31
